Country;Year;Total GHG Emissions Including LUCF
Burkina Faso;1999;2.805.460.767
Burkina Faso;2000;2.770.530.428
Burkina Faso;2001;2.649.701.841
Burkina Faso;2002;2.763.381.855
Burkina Faso;2003;3.017.710.068
Burkina Faso;2004;3.017.314.081
Burkina Faso;2005;3.114.978.694
Burkina Faso;2006;3.128.197.427
Burkina Faso;2007;318.898.476
Burkina Faso;2008;3.224.354.493
Burkina Faso;2009;3.276.842.026
Burkina Faso;2010;3.347.426.158
Burkina Faso;2011;3.385.177.336
Burkina Faso;2012;3.300.993.514
Burundi;1990;1.121.823.406
Burundi;1991;75.830.316
Burundi;1992;7.680.883.136
Burundi;1993;7.773.712.672
Burundi;1994;7.779.356.208
Burundi;1995;7.910.247.744
Burundi;1996;7.927.976.799
Burundi;1997;7.982.433.853
Burundi;1998;7.939.530.908
Burundi;1999;7.966.755.963
Burundi;2000;8.037.927.017
Burundi;2001;6.626.189.292
Burundi;2002;6.509.077.566
Burundi;2003;6.433.655.841
Burundi;2004;6.465.210.115
Burundi;2005;634.849.639
Burundi;2006;6.057.152.739
Burundi;2007;6.094.717.089
Burundi;2008;6.308.881.439
Burundi;2009;6.362.697.788
Burundi;2010;6.528.836.138
Burundi;2011;6.681.564.273
Burundi;2012;6.908.962.408
Cambodia;1990;4.248.462.886
Cambodia;1991;4.205.744.612
Cambodia;1992;4.259.848.738
Cambodia;1993;4.335.494.265
Cambodia;1994;4.242.529.591
Cambodia;1995;4.521.295.917
Cambodia;1996;445.590.188
Cambodia;1997;4.565.366.843
Cambodia;1998;4.872.507.606
Cambodia;1999;4.818.678.369
Cambodia;2000;4.673.656.132
Cambodia;2001;4.959.318.121
Cambodia;2002;5.020.194.111
Cambodia;2003;5.132.923.101
Cambodia;2004;5.260.517.091
Cambodia;2005;5.283.439.081
Cambodia;2006;4.595.497.281
Cambodia;2007;4.784.627.281
Cambodia;2008;4.744.746.681
Cambodia;2009;4.772.539.681
Cambodia;2010;4.863.234.882
Cambodia;2011;5.020.031.869
Cambodia;2012;4.911.605.056
Cameroon;1990;1.876.034.999
Cameroon;1991;1.872.708.634
Cameroon;1992;1.872.036.449
Cameroon;1993;1.913.339.244
Cameroon;1994;192.004.948
Cameroon;1995;1.918.376.075
Cameroon;1996;1.911.125.959
Cameroon;1997;1.917.402.223
Cameroon;1998;1.951.086.047
Cameroon;1999;1.939.324.091
Cameroon;2000;1.951.848.635
Cameroon;2001;1.929.056.498
Cameroon;2002;1.924.864.341
Cameroon;2003;1.940.731.503
Cameroon;2004;1.928.012.726
Cameroon;2005;1.948.887.549
Cameroon;2006;1.936.696.456
Cameroon;2007;1.944.265.963
Cameroon;2008;193.322.307
Cameroon;2009;1.940.262.976
Cameroon;2010;1.922.863.183
Cameroon;2011;1.925.724.988
Cameroon;2012;1.911.991.654
Canada;1990;681.926.201
Canada;1991;602.979.755
Canada;1992;6.175.682.091
Canada;1993;6.200.532.631
Canada;1994;6.402.492.871
Canada;1995;6.565.452.472
Canada;1996;6.654.166.966
Canada;1997;6.704.575.741
Canada;1998;7.414.368.596
Canada;1999;707.239.971
