Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310954982685.648,325574915626.717,325253403060.832,311950534007.87,322805257696.299,367949212949.213,401335356600.91,435571294412.271,399293902190.87,388672139365.835,414951956289.644,378459268004.723,693075477371.824,746880802635.52,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166062376739.683,173375508073.07,194608183696.469,189921096652.076,203044926876.28,240457622492.152,236720496490.772,212323463750.141,217683626056.025,216725261027.062,196421706283.398,196953628635.347,314648986444.472,334309371471.584,386458951546.674,427611527757.434,397594276187.83,390235099337.748,429010675562.969,407451583084.239
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707618246.56848,13245421880.834,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,68730906313.6456
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8399031000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,15968726861.7021,18505053191.4894,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.5793,30957483290.541,31708873954.9405,33166520084.8295,33768662171.2233,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012302519.52124,2020744653.61842,1957168343.54374,2063267995.73752,2151285060.49141,2261996995.18515,2411846465.43502,2549260575.07039,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3897467233.85757,4303275572.40198,4546115388.40716,4595264666.36232,4601200362.60463,4446829722.72591,4358920097.55454,4332141067.26626
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,17369598958.1159,17813389815.004,17022180272.211,16280372553.0518,14931599418.4226,13972637603.2102,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856485.1068,12354820143.8849,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206430841501.69,211637816538.689,236038384441.656,225924679920.709,246194938750.904,289567323481.117,281358175895.766,254813599458.728,260601911535.897,260202429149.798,237904919845.218,237841968680.09,387365750528.541,409813197842.178,471821105940.323,518625897172.99,484552792442.345,483576821192.053,526975674172.922,497884216568.867
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,1114222545.68238,1217467601.14436,1290573396.53153,1369603993.98571,1338515647.69315,1398362215.83775,1488894464.89739,1573867323.54972
