Cite as: CAIT Climate Data Explorer. 2015. Washington; DC: World Resources Institute. Available online at:•À_http://cait.wri.org.•À_ Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014; FAOSTAT Emissions Database. Any use of CO2•À_emissions from fuel combustion data should be cited as CO2•À_Emissions from Fuel Combustion; •À_OECD/IEA; 2014.;;;;;;;;;;;;;;;;;
;;Total GHG;;Emissions by Gas excluding LUCF;;;;Emissions by Gas including LUCF;;;Emissions by Sector;;;;;;Emissions by Energy Sub-Sector;;;;
Country;Year;Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e);Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?);Total CO2 (excluding Land-Use Change and Forestry) (MtCO2);Total CH4 (MtCO2e);Total N2O (MtCO2e);Total F-Gas (MtCO2e);Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e);Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2);Electricity/Heat (MtCO2);Manufacturing/Construction (MtCO2);Transportation (MtCO2);Other Fuel Combustion (MtCO2e);Fugitive Emissions (MtCO2e)
Antigua & Barbuda;1999;0.580566201;0.563006201;0.3481;0.1477;0.0163;0.0685;0.33052;0.147661992;0.0163281;;0.0685;0.0378;0.1254;-0.0176;;;;;;0
Antigua & Barbuda;2000;0.594316074;0.576906074;0.3444;0.1518;0.0162;0.0819;0.327006;0.151772139;0.01619;;0.0819;0.0373;0.1298;-0.0174;;;;;;0
Antigua & Barbuda;2001;0.618872963;0.614882963;0.3444;0.1544;0.0166;0.1035;0.340426;0.154417156;0.01658876;;0.1035;0.0383;0.1319;-0.004;;;;;;0
Antigua & Barbuda;2002;0.661319852;0.657449852;0.3627;0.1567;0.0169;0.125;0.358866;0.156732173;0.01688752;;0.125;0.0388;0.1339;-0.0039;;;;;;0
Antigua & Barbuda;2003;0.711254742;0.707504742;0.3884;0.1591;0.0173;0.1465;0.384634;0.159077191;0.01731628;;0.1465;0.0395;0.136;-0.0038;;;;;;0
Antigua & Barbuda;2004;0.753371631;0.749731631;0.4067;0.1613;0.0174;0.168;0.403064;0.161322208;0.01735504;;0.168;0.0398;0.138;-0.0036;;;;;;0
Antigua & Barbuda;2005;0.78037252;0.77685252;0.4104;0.163;0.0175;0.1895;0.406848;0.163027226;0.0174738;;0.1895;0.0396;0.1401;-0.0035;;;;;;0
Antigua & Barbuda;2006;0.822867005;0.822867005;0.425;0.165;0.0175;0.2153;0.425024;0.164956211;0.017538866;;0.2153;0.0396;0.1419;0;;;;;;0
Antigua & Barbuda;2007;0.895593489;0.895593489;0.469;0.1676;0.0178;0.2412;0.468992;0.167605197;0.017803932;;0.2412;0.0407;0.1438;0;;;;;;0
Antigua & Barbuda;2008;0.935183974;0.935183974;0.48;0.1699;0.0182;0.267;0.479984;0.169944183;0.018218997;;0.267;0.0415;0.1457;0;;;;;;0
